yintercept	PANEL
0.996342505126057	1
0.996342505126057	1
0.996342505126057	1
0.996342505126057	1
0.996342505126057	1
0.996342505126057	1
0.996342505126057	1
0.996342505126057	1
0.970982142857143	2
0.970982142857143	2
0.970982142857143	2
0.970982142857143	2
0.970982142857143	2
0.970982142857143	2
0.970982142857143	2
0.970982142857143	2
0.987953514739229	3
0.987953514739229	3
0.987953514739229	3
0.987953514739229	3
0.987953514739229	3
0.987953514739229	3
0.987953514739229	3
0.987953514739229	3
0.969761904761905	4
0.969761904761905	4
0.969761904761905	4
0.969761904761905	4
0.969761904761905	4
0.969761904761905	4
0.969761904761905	4
0.969761904761905	4
0.944070058578987	5
0.944070058578987	5
0.944070058578987	5
0.944070058578987	5
0.944070058578987	5
0.944070058578987	5
0.944070058578987	5
0.944070058578987	5
0.938564861673414	6
0.938564861673414	6
0.938564861673414	6
0.938564861673414	6
0.938564861673414	6
0.938564861673414	6
0.938564861673414	6
0.938564861673414	6
0.8282421875	7
0.8282421875	7
0.8282421875	7
0.8282421875	7
0.8282421875	7
0.8282421875	7
0.8282421875	7
0.8282421875	7
0.857593898204607	8
0.857593898204607	8
0.857593898204607	8
0.857593898204607	8
0.857593898204607	8
0.857593898204607	8
0.857593898204607	8
0.857593898204607	8
0.862107885813834	9
0.862107885813834	9
0.862107885813834	9
0.862107885813834	9
0.862107885813834	9
0.862107885813834	9
0.862107885813834	9
0.862107885813834	9
0.818702332660716	10
0.818702332660716	10
0.818702332660716	10
0.818702332660716	10
0.818702332660716	10
0.818702332660716	10
0.818702332660716	10
0.818702332660716	10
0.84243772647634	11
0.84243772647634	11
0.84243772647634	11
0.84243772647634	11
0.84243772647634	11
0.84243772647634	11
0.84243772647634	11
0.84243772647634	11
0.828805738304094	12
0.828805738304094	12
0.828805738304094	12
0.828805738304094	12
0.828805738304094	12
0.828805738304094	12
0.828805738304094	12
0.828805738304094	12
0.793167786336511	13
0.793167786336511	13
0.793167786336511	13
0.793167786336511	13
0.793167786336511	13
0.793167786336511	13
0.793167786336511	13
0.793167786336511	13
0.816627116206443	14
0.816627116206443	14
0.816627116206443	14
0.816627116206443	14
0.816627116206443	14
0.816627116206443	14
0.816627116206443	14
0.816627116206443	14
0.808414824263039	15
0.808414824263039	15
0.808414824263039	15
0.808414824263039	15
0.808414824263039	15
0.808414824263039	15
0.808414824263039	15
0.808414824263039	15
0.793148514052878	16
0.793148514052878	16
0.793148514052878	16
0.793148514052878	16
0.793148514052878	16
0.793148514052878	16
0.793148514052878	16
0.793148514052878	16
0.781088633780808	17
0.781088633780808	17
0.781088633780808	17
0.781088633780808	17
0.781088633780808	17
0.781088633780808	17
0.781088633780808	17
0.781088633780808	17
0.755105316213922	18
0.755105316213922	18
0.755105316213922	18
0.755105316213922	18
0.755105316213922	18
0.755105316213922	18
0.755105316213922	18
0.755105316213922	18
